,,,,,,,,,,,,,Asignatura,Nombre Asig.,Créditos Asignatura,Asig. Referenciadas,Sección,Descrip. Evento,Horario,Profesor,Sede,Cat. Paquete,Paquete,Vac. Paquete
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CFG2222,CIUDADES SUSTENTABLES:DESAFÍOS EN AMÉRIC,5,,Sección 2,CÁTEDRA DE FG02,MI 10:00 - 12:50,BRAVO MARIA JOSE,S-SANTIAGO,Vacantes FG,CFG2222_FG02,10
,,,,,,,,,,,,,CFG2222,CIUDADES SUSTENTABLES:DESAFÍOS EN AMÉRIC,5,,Sección 2,CÁTEDRA DE FG02,MI 10:00 - 12:50,SCHMIDT FRANCISCO JAVIER,S-SANTIAGO,Vacantes FG,CFG2222_FG02,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CFG2224,"POBLACIÓN,DESARROLLO Y POLÍTICAS PÚBL",5,,Sección 1,B-LEARNING FG01,MI 11:30 - 14:20,SINGH DOMINIQUE,S-SANTIAGO,Vacantes FG,CFG2224_FG01,55
,,,,,,,,,,,,,CFG2224,"POBLACIÓN,DESARROLLO Y POLÍTICAS PÚBL",5,,Sección 1,B-LEARNING FG01,MI 11:30 - 14:20,AGAR LORENZO RENE,S-SANTIAGO,Vacantes FG,CFG2224_FG01,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CFG2225,"ORIGEN, EVOLUCIÓN Y FIN DEL UNIVERSO",5,,Sección 1,CÁTEDRA DE FG01,MI JU 18:50 - 20:10,LABBE ERIKA FABIOLA,S-SANTIAGO,Vacantes FG,CFG2225_FG01,55
,,,,,,,,,,,,,CFG2225,"ORIGEN, EVOLUCIÓN Y FIN DEL UNIVERSO",5,,Sección 1,CÁTEDRA DE FG01,MI JU 18:50 - 20:10,SOTO DANIEL EDUARDO,S-SANTIAGO,Vacantes FG,CFG2225_FG01,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CFG2238,CIUDADANÍA Y GÉNERO EN CHILE:SIGLOS XX Y,5,,Sección 1,CÁTEDRA DE FG01,MA JU 16:00 - 17:20,GODOY CARMEN  GLORIA,S-SANTIAGO,Vacantes FG,CFG2238_FG01,55
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CFG2240,MICROORGANISMOS: ORÍGENES Y PANDEMIAS AC,5,,Sección 1,CÁTEDRA DE FG01,JU VI 17:25 - 18:45,PEREZ DANIELA ANDREA,S-SANTIAGO,Vacantes FG,CFG2240_FG01,55
