,,,,,,,,,,,,,Asignatura,Nombre Asig.,Créditos Asignatura,Asig. Referenciadas,Sección,Descrip. Evento,Horario,Profesor,Sede,Cat. Paquete,Paquete,Vac. Paquete
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CBF1000,MECÁNICA,7,,Sección 9,LABORATORIO 09,MA 14:30 - 15:50,BARTOLO LEONARDO MAURICIO,S-SANTIAGO,Vacantes de Carrera,CBF1000_VC09,17
,,,,,,,,,,,,,CBF1000,MECÁNICA,7,,Sección 9,AYUDANTÍA OBLIGATORIA 05,MI 14:30 - 15:50,,S-SANTIAGO,Vacantes de Carrera,CBF1000_VC09,
,,,,,,,,,,,,,CBF1000,MECÁNICA,7,,Sección 9,CÁTEDRA 05,LU JU 14:30 - 15:50,EREMEEV VITALIE,S-SANTIAGO,Vacantes de Carrera,CBF1000_VC09,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CBF1001,CALOR Y ONDAS,7,,Sección 1,AYUDANTÍA OBLIGATORIA 01,MA 11:30 - 12:50,,S-SANTIAGO,Vacantes de Carrera,CBF1001_VC01,17
,,,,,,,,,,,,,CBF1001,CALOR Y ONDAS,7,,Sección 1,CÁTEDRA 01,LU JU 11:30 - 12:50,LAVIN ROBERTO OSVALDO,S-SANTIAGO,Vacantes de Carrera,CBF1001_VC01,
,,,,,,,,,,,,,CBF1001,CALOR Y ONDAS,7,,Sección 1,LABORATORIO 01,VI 11:30 - 12:50,PAREDES DANIELA VICTORIA,S-SANTIAGO,Vacantes de Carrera,CBF1001_VC01,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CBF1001,CALOR Y ONDAS,7,,Sección 10,AYUDANTÍA OBLIGATORIA 05,LU 10:00 - 11:20,,S-SANTIAGO,Vacantes de Carrera,CBF1001_VC10,18
,,,,,,,,,,,,,CBF1001,CALOR Y ONDAS,7,,Sección 10,CÁTEDRA 05,MA VI 10:00 - 11:20,VILLAGRAN SIDNEY HERNAN,S-SANTIAGO,Vacantes de Carrera,CBF1001_VC10,
,,,,,,,,,,,,,CBF1001,CALOR Y ONDAS,7,,Sección 10,LABORATORIO 10,JU 10:00 - 11:20,VILLAGRAN SIDNEY HERNAN,S-SANTIAGO,Vacantes de Carrera,CBF1001_VC10,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
